Address,Translated,Status,Province,Administrative District,Building,Neighbourhood,Town,Street,Village,Country,Latitude,Longitude,api
"Կուրղինյան փողոցի նրբանցք, Երևան","Alley of Kurghinyan Street, Yerevan",OK,Yerevan,Yerevan,,,,Շուշանիկ Կուրղինյան փողոցի Նրբանցք,,Armenia,40.169782,44.467103,Azure
"Շահումյանի 1-ին փողոց 2/1, Երևան","2/1 Shahumyan 1st Street, Yerevan",OK,Yerevan,Yerevan,,,,Շահումյանի 1-ին փողոց,,Armenia,40.167782,44.462832,Azure
"Ստեփան Շահումյանի փողոց, Գյումրի","Stepan Shahumyan Street, Gyumri",OK,Shirak,Gyumri,,,,Շահումյան փողոց,,Armenia,40.783523,43.842199,Azure
"Նորաշեն թաղամաս, Երևան","Norashen district, Yerevan",OK,Yerevan,Ajapnyak,,Norashen Quarter,Yerevan,Նորաշեն Թաղամաս,,Armenia,40.213333,44.469634,Yandex
"Նորաշեն թաղամաս 39, Երևան","Norashen district 39, Yerevan",OK,Yerevan,Ajapnyak,39,Norashen district,Yerevan,Նորաշեն Թաղամաս,,Armenia,40.2114871,44.4727932,Nominatim
"Նորաշեն թաղամաս 33, Երևան","Norashen district 33, Yerevan",OK,Yerevan,Ajapnyak,33,Norashen Quarter,Yerevan,Նորաշեն Թաղամաս,,Armenia,40.212982,44.471987,Yandex
"Նորաշեն թաղամաս 27, Երևան","Norashen district 27, Yerevan",OK,Yerevan,Ajapnyak,27,Norashen district,Yerevan,Նորաշեն Թաղամաս,,Armenia,40.21449365,44.47071844,Nominatim
"Նորաշեն թաղամաս 19, Երևան","Norashen district 19, Yerevan",OK,Yerevan,Ajapnyak,19,Norashen Quarter,Yerevan,Նորաշեն Թաղամաս,,Armenia,40.215406,44.46799,Yandex
"Դավթաշենի 2-րդ զանգված, Երևան","Davtashen 2nd District, Yerevan",OK,Yerevan,Yerevan,,2nd Residential Area,Yerevan,Նոր Նորքի 2-րդ Զանգված,,Armenia,40.201769,44.573452,Yandex
"Նոր Արեշի 7րդ փողոց, Yerevan","7th New Aresh Street, Yerevan",OK,Yerevan,Yerevan,,,,նոր արեշ 7-րդ փողոց,,Armenia,40.147583,44.528362,Azure
"Նոր Արեշ 2-րդ փողոց 16/1, Երևան","16/1, New Aresh 2nd Street, Yerevan",OK,Yerevan,Yerevan,,,,նոր արեշ 2-րդ փողոց,,Armenia,40.149623,44.516748,Azure
"Նիկողայոս Տիգրանյան փողոցի փակուղի, Երևան","Nikoghayos Tigranyan Street Dead End, Yerevan",OK,Yerevan,Yerevan,, Atlantis Yerevan Residential Complex,Yerevan,Նիկողայոս Տիգրանյան փողոցի Փակուղի,,Armenia,40.212059,44.50615,Yandex
"Նիկողայոս Ադոնց փողոց , Երևան","Nikoghayos Adonts Street, Yerevan",OK,Yerevan,Yerevan,,,,Նիկողայոս Ադոնց փողոց,,Armenia,40.212317,44.523183,Azure
"Նիկողայոս Ադոնց փողոց, Երևան","Nikoghayos Adonts Street, Yerevan",OK,Yerevan,Yerevan,,Adonts Residential Complex,Yerevan,Նիկողայոս Ադոնց փողոց,,Armenia,40.213305,44.519329,Yandex
"Ներքին Շենգավիթի 11-րդ փողոց 39, Երևան","39, Nerkin Shengavit 11th Street, Yerevan",OK,Yerevan,Yerevan,,,,Ներքին Շենգավիթ 11-րդ փողոց,,Armenia,40.137406,44.481209,Azure
"Ներքին Շենգավիթի 11-րդ փողոց, Երևան","11th Street, Inner Shengavit, Yerevan",OK,Yerevan,Yerevan,,,,Ներքին Շենգավիթ 11-րդ փողոց,,Armenia,40.137406,44.481209,Azure
"Նարեկացի թաղամաս, Երևան","Narekatsi District, Yerevan",OK,Yerevan,Avan,,Narekatsi District,Yerevan,Նարեկացի Թաղամաս,,Armenia,40.219634,44.580639,Yandex
"Միքայել Նալբանդյանի փողոց 7/1, Երևան","7/1 Mikael Nalbandyan Street, Yerevan",OK,Yerevan,Yerevan,,,,Նալբանդյան փողոց,,Armenia,40.179643,44.515466,Azure
"Նազարբեկյան թաղամաս, Երևան","Nazarbekyan district, Yerevan",OK,Yerevan,Ajapnyak,,Nazarbekyan Quarter,Yerevan,Նազարբեկյան Թաղամաս,,Armenia,40.213278,44.460696,Yandex
"Մովսես Խորենացու փողոց 32, Երևան","32 Movses Khorenatsi Street, Yerevan",OK,Yerevan,Erebuni,231/32,Sari tagh,Yerevan,Մովսես Խորենացու փողոց,,Armenia,40.1557881,44.52576497,Nominatim
"Մովսես Խորենացի փողոց 2-րդ նրբանցք, Երևան","Movses Khorenatsi Street, 2nd Lane, Yerevan",OK,Yerevan,Yerevan,,Old Yerevan Quarter,Yerevan,Մովսես Խորենացի փողոց 2 Նրբանցք,,Armenia,40.180102,44.512268,Yandex
"Մովսես Խորենացի փողոց 4, Գյումրի","4 Movses Khorenatsi Street, Gyumri",OK,Shirak,Gyumri,,,,Մովսես Խորենացի փողոց,,Armenia,40.829819,43.834115,Azure
"Միքայել Նալբանդյանի փողոց, Երևան","Mikael Nalbandyan Street, Yerevan",OK,Yerevan,Yerevan,,,,Միքայել Նալբանդյան Նրբանցք & Նալբանդյան փողոց,,Armenia,40.179964,44.517358,Azure
"Մինաս Ավետիսյանի փողոց 29, Գյումրի","Minas Avetisyan Street 29, Gyumri",OK,Shirak,Gyumri,,,,Մինաս Ավետիսյան փողոց,,Armenia,40.832473,43.828488,Azure
"Մարտիրոս Սարյանի փողոց 9, Երևան","9 Martiros Saryan Street, Yerevan",OK,Yerevan,Yerevan,,,,Մարտիրոս Սարյան փողոց,,Armenia,40.186537,44.508782,Azure
"Մարտիրոս Սարյանի փողոց 4, Երևան","4 Martiros Saryan Street, Yerevan",OK,Yerevan,Yerevan,,,,Մարտիրոս Սարյան փողոց,,Armenia,40.187437,44.509047,Azure
"Մարտիրոս Սարյանի փողոց 31, Երևան","31 Martiros Saryan Street, Yerevan",OK,Yerevan,Yerevan,,,,Մարտիրոս Սարյան փողոց,,Armenia,40.181363,44.505183,Azure
"Մարտիրոս Սարյանի փողոց 26/4, Երևան","26/4 Martiros Saryan Street, Yerevan",OK,Yerevan,Yerevan,,,,Մարտիրոս Սարյան փողոց,,Armenia,40.182696,44.504498,Azure
"Մարտիրոս Սարյանի փողոց 12, Երևան","12 Martiros Saryan Street, Yerevan",OK,Yerevan,Yerevan,,,,Մարտիրոս Սարյան փողոց,,Armenia,40.186663,44.508248,Azure
"Մայիսյան փողոց, Երևան","Mayisyan Street, Yerevan",OK,Yerevan,Yerevan,,,,Մայիսյան փողոց,,Armenia,40.181551,44.506141,Azure
"Ձոր 1 թաղամաս, Երևան","Dzor 1 district, Yerevan",OK,Yerevan,Davtashen,1,Dzor 1 District,Yerevan,Ձոր 1 թաղամաս,,Armenia,40.216294,44.497563,Yandex
"Հրաչյա Քոչարի փողոց 25, Երևան","25 Hrachya Kochar Street, Yerevan",OK,Yerevan,Yerevan,,,,Հրաչյա Քոչար փողոց,,Armenia,40.202125,44.502925,Azure
"Հունան Ավետիսյանի փողոց 10, Երևան","Hunan Avetisyan Street 10, Yerevan",OK,Yerevan,Yerevan,,,,Հունան Ավետիսյան փողոց,,Armenia,40.175727,44.562053,Azure
"Հայ Ֆիդայինների փողոց 6, Հրազդան","6 Hay Fidayinneri Street, Hrazdan",OK,Kotayk,Hrazdan,,Գ-2 թաղ,Hrazdan,Հայ Ֆիդայինների փողոց,,Armenia,40.53458343,44.77356408,Nominatim
"Հաղթանակի 9-րդ փողոց 14, Երևան","14 Haghtanak 9th Street, Yerevan",OK,Yerevan,Yerevan,,,,Հաղթանակի 9 փողոց,,Armenia,40.185671,44.423446,Azure
"Աթոյանի փողոց 13, Երևան","13 Atoyan Street, Yerevan",OK,Yerevan,Yerevan,,,,Հակոբ Աթոյան Փողոց,,Armenia,40.149329,44.518769,Azure
"Քուչակ թաղամաս, Երևան","Kuchak district, Yerevan",OK,Yerevan,Avan,,Kuchak District,Yerevan,Կուչակ Թաղամաս,,Armenia,40.219021,44.577117,Yandex
"Կարապետ Ուլնեցու փողոցի 2-րդ փակուղի, Երևան","2nd dead end of Karapet Ulnetsi Street, Yerevan",OK,Yerevan,Yerevan,,,,Կարապետ Ուլնեցու փողոց 4 Փակուղի,,Armenia,40.208725,44.539544,Azure
"Կարապետ Ուլնեցու փողոցի 3-րդ փակուղի 5, Երևան","5, Karapet Ulnetsi Street, 3rd Dead End, Yerevan",OK,Yerevan,Yerevan,,,,Կարապետ Ուլնեցու փողոց 3 Փակուղի,,Armenia,40.209437,44.539289,Azure
"Կարապետ Ուլնեցու փողոցի 3-րդ փակուղի 1, Երևան","1 Karapet Ulnetsi Street, 3rd Dead End, Yerevan",OK,Yerevan,Yerevan,,,,Կարապետ Ուլնեցու փողոց 1 Փակուղի & Կարապետ Ուլնեցի փողոց 3-րդ Փակուղի,,Armenia,40.208392,44.538853,Azure
"Ծովակալ Իսակովի պողոտա 44/5, Երևան","Admiral Isakov Avenue 44/5, Yerevan",OK,Yerevan,Yerevan,,,,Ծովակալ Իսակով պողոտա,,Armenia,40.172942,44.4932282,Azure
"Ծովակալ Իսակովի պողոտա 44, Երևան","Admiral Isakov Avenue 44, Yerevan",OK,Yerevan,Yerevan,,,,Ծովակալ Իսակով պողոտա,,Armenia,40.172942,44.4932282,Azure
"Ծովակալ Իսակովի պողոտա 38, Երևան ","Admiral Isakov Avenue 38, Yerevan ",OK,Yerevan,Yerevan,,,,Ծովակալ Իսակով պողոտա,,Armenia,40.172942,44.4932282,Azure
"Խաչատուր Աբովյանի փողոց 22/22, Երևան","22/22 Khachatur Abovyan Street, Yerevan",OK,Yerevan,Yerevan,,,,Խաչատուր Աբովյան փողոց,,Armenia,40.183044,44.518509,Azure
"Ռաֆայել Իսրաելյան փողոց 37, Երևան","37 Rafael Israelyan Street, Yerevan",OK,Yerevan,Yerevan,,,,Իսրայելյան փողոց,,Armenia,40.177887,44.50149,Azure
"Իսահակյան թաղամաս 5/5, Երևան","Isahakyan district 5/5, Yerevan",OK,Yerevan,Yerevan,5/5,Isahakyan District,Yerevan,Իսահակյան Թաղամաս,,Armenia,40.21772,44.578105,Yandex
"Թումանյան փողոց 40/28, Yerevan","Tumanyan Street 40/28, Yerevan",OK,Yerevan,Yerevan,,,,Թումանյան փողոց,,Armenia,40.182319,44.517976,Azure
"Թոթովենց նրբանցք, Երևան","Totovents Alley, Yerevan",OK,Yerevan,Yerevan,,,,Թոթովենց նրբանցք,,Armenia,40.201435,44.569978,Azure
"Թոթովենց նրբանցք 3/2, Երևան","3/2 Totovents Alley, Yerevan",OK,Yerevan,Yerevan,,,,Թոթովենց նրբանցք,,Armenia,40.202358,44.570795,Azure
"Եղիշե Չարենցի փողոց 8, Գյումրի","8 Yeghishe Charents Street, Gyumri",OK,Shirak,Gyumri,,,,Եղիշե Չարենցի փողոց,,Armenia,40.82602,43.827323,Azure
"Եղիշե Չարենցի փողոց 46, Վարդենիս","46 Yeghishe Charents Street, Vardenis",OK,Yerevan,Yerevan,,,,Եղիշե Չարենց փողոց 2 Նրբանցք,,Armenia,40.1708254,44.5274093,Azure
"Եղիշե Չարենցի փողոց 42, Երևան","42 Yeghishe Charents Street, Yerevan",OK,Yerevan,Yerevan,,,,Եղիշե Չարենց փողոց,,Armenia,40.178147,44.527245,Azure
"Դերենիկ Դեմիրճյան փողոց, Երևան","Derenik Demirchyan Street, Yerevan",OK,Yerevan,Yerevan,,,,Դերենիկ Դեմիրճյան փողոց,,Armenia,40.189559,44.507575,Azure
"Դերենիկ Դեմիրճյան փողոց 17/1, Երևան","Derenik Demirchyan Street 17/1, Yerevan",OK,Yerevan,Yerevan,,,,Դերենիկ Դեմիրճյան փողոց,,Armenia,40.187917,44.508375,Azure
"Դավթաշենի 1-ին փողոցի 2-րդ նրբանցք 1/2, Երևան","1/2 Davtashen 1st Street, 2nd Alley, Yerevan",OK,Yerevan,Yerevan,,,,Դավթաշենի 1-ին փողոց 2-րդ Նրբանցք,,Armenia,40.215828,44.47466,Azure
"Դավթաշեն 2-րդ թաղամաս 1, Երևան","Davtashen 2nd District 1, Yerevan",OK,Yerevan,Davtashen,1,Davtashen 2nd Block,Yerevan,Դավթաշենի 1-ին փողոց 2-րդ Նրբանցք,,Armenia,40.22402,44.493439,Yandex
"Դավթաշեն 1-ին թաղամաս 8/2, Երևան","Davtashen 1st District 8/2, Yerevan",OK,Yerevan,Davtashen,8/2,Davtashen 1st Block,Yerevan,Դավթաշենի 1-ին փողոց 2-րդ Նրբանցք,,Armenia,40.219104,44.488076,Yandex
"Դավթաշեն 1-ին թաղամաս 37/2, Երևան","Davtashen 1st District 37/2, Yerevan",OK,Yerevan,Davtashen,37/2,Davtashen 1st Block,Yerevan,Դավթաշենի 1-ին փողոց 2-րդ Նրբանցք,,Armenia,40.221479,44.490699,Yandex
"Դավթաշեն 3-րդ թաղամաս, Երևան","Davtashen 3rd district, Yerevan",OK,Yerevan,Davtashen,,Davtashen 3rd Block,Yerevan,Դավթաշեն 3 թաղամաս,,Armenia,40.217058,44.492164,Yandex
"Դավթաշեն 3-րդ թաղամաս 18, Երևան","Davtashen 3rd District 18, Yerevan",OK,Yerevan,Davtashen,18,Davtashen 3rd Block,Yerevan,Դավթաշեն 3 թաղամաս,,Armenia,40.218422,44.490628,Yandex
"Դավթաշեն 3-րդ թաղամաս 10, Երևան","Davtashen 3rd District 10, Yerevan",OK,Yerevan,Davtashen,10,Davtashen 3rd Block,Yerevan,Դավթաշեն 3 թաղամաս,,Armenia,40.215722,44.488849,Yandex
"Դավթաշեն 3-րդ թաղամաս 1, Երևան","Davtashen 3rd District 1, Yerevan",OK,Yerevan,Davtashen,1,Davtashen 3rd Block,Yerevan,Դավթաշեն 3 թաղամաս,,Armenia,40.217134,44.489361,Yandex
"Դավթաշեն 2-րդ թաղամաս, Երևան","Davtashen 2nd district, Yerevan",OK,Yerevan,Davtashen,,Davidashen 2nd block,Yerevan,Դավթաշեն 2 թաղամաս,,Armenia,40.22544175,44.49397149,Nominatim
"Դավթաշեն 2-րդ թաղամաս 7/2, Երևան","Davtashen 2nd District 7/2, Yerevan",OK,Yerevan,Davtashen,7/2,Davtashen 2nd Block,Yerevan,Դավթաշեն 2 թաղամաս,,Armenia,40.224819,44.492074,Yandex
"Դավթաշեն 1-ին թաղամաս 9, Երևան","Davtashen 1st District 9, Yerevan",OK,Yerevan,Davtashen,9,Davidashen 1st block,Yerevan,Դավթաշեն 1 թաղամաս,,Armenia,40.21858875,44.48886567,Nominatim
"Դավթաշեն 1-ին թաղամաս 52, Երևան","Davtashen 1st District 52, Yerevan",OK,Yerevan,Davtashen,52,Davtashen 1st Block,Yerevan,Դավթաշեն 1 թաղամաս,,Armenia,40.219076,44.489469,Yandex
"Դավթաշեն 1-ին թաղամաս 11/2, Երևան","Davtashen 1st district 11/2, Yerevan",OK,Yerevan,Davtashen,11/2,Davtashen 1st Block,Yerevan,Դավթաշեն 1 թաղամաս,,Armenia,40.218876,44.486477,Yandex
"Գուսան Շերամ փողոց, Երևան","Gusan Sheram Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,,Գուսան Շերամի փողոց,,Armenia,40.181984,44.442566,Azure
"Գարեգին Նժդեհ փողոց 44, Երևան","44 Garegin Nzhdeh Street, Yerevan",OK,Yerevan,Yerevan,,,,Գարեգին Նժդեհ փողոց,,Armenia,40.151391,44.500185,Azure
"Գայի պողոտա 19/67, Երևան","19/67 Gay Avenue, Yerevan",OK,Yerevan,Yerevan,,,,Գայի Պողոտա,,Armenia,40.195314,44.569081,Azure
"1 թաղամաս 33, Երևան","1st district 33, Yerevan",OK,Yerevan,Davtashen,33,Davtashen 1st Block,Yerevan,Գ-1 Թաղամաս,,Armenia,40.224158,44.489783,Yandex
"Բաղյան փողոցի 1-ին նրբանցք, Երևան","1st alley of Baghyan Street, Yerevan",OK,Yerevan,Yerevan,,,,Բաղյան փողոց 1 Նրբանցք,,Armenia,40.193731,44.567289,Azure
"Ակսել Բակունց փողոց 1, Երևան","1 Aksel Bakunts Street, Yerevan",OK,Yerevan,Yerevan,,,,Աքսել Բակունցի փողոց,,Armenia,40.192127,44.573237,Azure
"Արմենակ Արմենակյանի փողոց 93/2, Երևան","Armenak Armenakyan Street 93/2, Yerevan",OK,Yerevan,Yerevan,,,,Արմենակ Արմենակյան փողոց,,Armenia,40.187271,44.53073,Azure
"Արգիշտի, Երևան","Argishti, Yerevan",OK,Yerevan,Yerevan,,Argishti,Yerevan,Արգիշտի փողոց,,Armenia,40.151522,44.52524,Yandex
"Բագրատունյաց փողոց 1, Երևան","Bagratunyats Street 1, Yerevan",OK,Yerevan,Yerevan,,,,Արարատյան փողոց 1 Նրբանցք & Բագրատունյաց Պողոտա 4 Նրբանցք,,Armenia,40.148192,44.484792,Azure
"Արամ Խաչատրյան փողոց 21Ա, Երևան","21A Aram Khachaturian Street, Yerevan",OK,Yerevan,Yerevan,,,,Արամ Խաչատրյանի փողոց,,Armenia,40.204886,44.497312,Azure
"Արամ Խաչատրյան փողոց 16, Երևան","16 Aram Khachaturian Street, Yerevan",OK,Yerevan,Yerevan,,,,Արամ Խաչատրյանի փողոց,,Armenia,40.205026,44.498149,Azure
"Արամ Խաչատրյան փողոց 13, Երևան","13 Aram Khachaturian Street, Yerevan",OK,Yerevan,Yerevan,,,,Արամ Խաչատրյանի փողոց,,Armenia,40.204727,44.49626,Azure
"Արամ Խաչատրյան փողոցի նրբանցք 4, Երևան","Aram Khachatryan Street Alley 4, Yerevan",OK,Yerevan,Yerevan,,Nor Yerevan Residential Complex,Yerevan,Արամ Խաչատրյանի նրբանցք,,Armenia,40.16519,44.436684,Yandex
"Արամ Խաչատրյան փողոցի նրբանցք 2, Երևան","Aram Khachatryan Street Alley 2, Yerevan",OK,Yerevan,Yerevan,,,,Արամ Խաչատրյանի նրբանցք,,Armenia,40.208059,44.506226,Azure
"Ավետիք Իսահակյանի փողոց 7, Ծաղկաձոր","Avetik Isahakyan Street 7, Tsaghkadzor",OK,Yerevan,Yerevan,,,,Ավետիք Իսահակյան փողոց,,Armenia,40.1857104,44.5234145,Azure
"Ավան 14-րդ փողոց, Երևան","Avan 14th Street, Yerevan",OK,Yerevan,Yerevan,,,,Ավան 14-րդ փողոց,,Armenia,40.215965,44.566022,Azure
"Թումանյան թաղամաս 4, Երևան","Tumanyan district 4, Yerevan",OK,Yerevan,Avan,6/1,Tumanyan District,Yerevan,Almaty Street,,Armenia,40.216528,44.573686,Yandex
"ГСК-4 17, Ванадзор","GSK-4 17, Vanadzor",OK,Lori,Vanadzor,17,GSK-4,Vanadzor,GSK-4,,Armenia,40.84205,44.43142,Yandex
"Զովունի 6 փողոց 5, Զովունի","5 Zovuni 6th Street, Zovuni",OK,Kotayk,Nairi,,,,Zovuni 6 street,Village of Zovuni,Armenia,40.23546815,44.50759644,Nominatim
"Zovuni 39 street, Zovuni","Zovuni 39 street, Zovuni",OK,Kotayk,Nairi,,,,Zovuni 39 street,Village of Zovuni,Armenia,40.23420379,44.50457302,Nominatim
"11-я улица 89, Зовуни","11th street 89, Zovuni",OK,Kotayk,Nairi,89,,,Zovuni 11th street,Village of Zovuni,Armenia,40.23044465,44.50797299,Nominatim
