Address,Translated,Status,Province,Administrative District,Building,Neighbourhood,Town,Street,Village,Country,Latitude,Longitude,api,Block,Lane,Street Number,Index
"վահան տերյանի փողոց 69, երևան","69 Vahan Teryan Street, Yerevan",OK,Yerevan,Yerevan,69,,,Vahan Teryan Street,,Armenia,40.186422,44.518495,Azure,,,,['A15383']
"արաբկիր 51 փողոց, երևան","51 Arabkir Street, Yerevan",OK,Yerevan,Yerevan,51,,Yerevan,Vahagn Davtyan Street,,Armenia,40.203008,44.509528,Yandex,,,,"['A20694', 'A29481']"
"vahagn davtiyan street 1/4, yerevan","Vahagn Davtiyan Street 1/4, Yerevan",OK,Yerevan,Yerevan,1/4,,Yerevan,Vahagn Davtyan Street,,Armenia,40.196148,44.513436,Yandex,,,,"['A1929', 'B7285']"
"վաղարշ վաղարշյանի փակուղի, երևան","Vagharsh Vagharshyan Dead End, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Vagharshyan Street,,Armenia,40.200804,44.499997,Yandex,,,,['A23885']
"vagharsh vagharshyan street 14/1, yerevan","Vagharsh Vagharshyan Street 14/1, Yerevan",OK,Yerevan,Yerevan,14/1,,Yerevan,Vagharshyan Street,,Armenia,40.199985,44.500922,Yandex,,,,"['A475', 'A9847']"
"թումանյան փողոց 40/28, yerevan","Tumanyan Street 40/28, Yerevan",OK,Yerevan,Yerevan,40/28,,,Tumanyan Street,,Armenia,40.182319,44.517976,Azure,,,,['A3471']
"հովհաննես թումանյանի փողոց 9ա, երևան","9a Hovhannes Tumanyan Street, Yerevan",OK,Yerevan,Yerevan,9A,,Yerevan,Tumanyan Street,,Armenia,40.179702,44.519769,Yandex,,,,['A10033']
"հովհաննես թումանյանի փողոց 5ա, երևան","5a Hovhannes Tumanyan Street, Yerevan",OK,Yerevan,Yerevan,5A,,Yerevan,Tumanyan Street,,Armenia,40.179461,44.521332,Yandex,,,,"['B1988', 'B2465']"
"հովհաննես թումանյանի փողոց 40, երևան","40 Hovhannes Tumanyan Street, Yerevan",OK,Yerevan,Yerevan,40,,Yerevan,Tumanyan Street,,Armenia,40.186675,44.511873,Yandex,,,,"['A11581', 'B7188']"
"հովհաննես թումանյանի փողոց 20, երևան","20 Hovhannes Tumanyan Street, Yerevan",OK,Yerevan,Yerevan,20,,Yerevan,Tumanyan Street,,Armenia,40.181087,44.51967,Yandex,,,,['A17636']
"հովհաննես թումանյանի փողոց 11ա, երևան","11a Hovhannes Tumanyan Street, Yerevan",OK,Yerevan,Yerevan,11A,,Yerevan,Tumanyan Street,,Armenia,40.180295,44.51941,Yandex,,,,['B5025']
"հովհաննես թումանյանի փողոց 11/4, երևան","11/4 Hovhannes Tumanyan Street, Yerevan",OK,Yerevan,Yerevan,11/4,,Yerevan,Tumanyan Street,,Armenia,40.180047,44.520416,Yandex,,,,['A23179']
"ծովակալ իսակովի պողոտա, երևան","Admiral Isakov Avenue, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.157229,44.459896,Yandex,,,,"['A1797', 'A5901', 'A14576', 'A15016', 'A25544', 'A30025', 'A31540']"
"ծովակալ իսակովի պողոտա, երևան","Admiral Isakov Avenue, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.157229,44.459896,Yandex,,,,"['A1797', 'A5901', 'A14576', 'A15016', 'A25544', 'A30025', 'A31540']"
"ծովակալ իսակովի պողոտա 83/24, երևան","Admiral Isakov Avenue 83/24, Yerevan",OK,Yerevan,Yerevan,83/24,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.159593,44.437645,Yandex,,,,['A31294']
"ծովակալ իսակովի պողոտա 52/4, երևան","Admiral Isakov Avenue 52/4, Yerevan",OK,Yerevan,Yerevan,52/4,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.160669,44.435525,Yandex,,,,['A20029']
"ծովակալ իսակովի պողոտա 50/7, երևան","Admiral Isakov Avenue 50/7, Yerevan",OK,Yerevan,Yerevan,50/7,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.161544,44.433378,Yandex,,,,['A25422']
"ծովակալ իսակովի պողոտա 4, երևան","Admiral Isakov Avenue 4, Yerevan",OK,Yerevan,Yerevan,4,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.17295,44.492909,Yandex,,,,['A13772']
"ծովակալ իսակովի պողոտա 36, երևան","Admiral Isakov Avenue 36, Yerevan",OK,Yerevan,Yerevan,36,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.161192,44.447365,Yandex,,,,['A1167']
"ծովակալ իսակովի պողոտա 32, երևան","Admiral Isakov Avenue 32, Yerevan",OK,Yerevan,Yerevan,32,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.158615,44.448667,Yandex,,,,['A541']
"թոթովենցի փողոց, երևան","Totoventsi Street, Yerevan",OK,Yerevan,Yerevan,,2,Yerevan,Totovents Street,,Armenia,40.203132,44.568997,Yandex,Nor Nork Block,,,"['A229', 'A457', 'A589', 'A4570', 'A5246']"
"թոթովենցի նրբանցք, երևան","Totovents Alley, Yerevan",OK,Yerevan,Yerevan,,2,Yerevan,Totovents Street,,Armenia,40.203132,44.568997,Yandex,Nor Nork Block,,,['A2870']
"թոթովենց նրբանցք, երևան","Totovents Alley, Yerevan",OK,Yerevan,Yerevan,,,,Totovents Alley,,Armenia,40.201435,44.569978,Azure,,,,['A29824']
"թոթովենց նրբանցք 3/2, երևան","3/2 Totovents Alley, Yerevan",OK,Yerevan,Yerevan,3/2,,,Totovents Alley,,Armenia,40.202358,44.570795,Azure,,,,['B3805']
"տիգրան մեծ պողոտա, վանաձոր","Tigran Mets Avenue, Vanadzor",OK,Lori,Yerevan,,,Vanadzor,Tigran Mets Avenue,,Armenia,40.810948,44.486037,Yandex,,,,['B1062']
"проспект тигран мец 79, ванадзор","Tigran Mets Avenue 79, Vanadzor",OK,Lori,Yerevan,79,,Vanadzor,Tigran Mets Avenue,,Armenia,40.811432,44.485283,Yandex,,,,['B939']
"թևոսյան փողոց, երևան","Tevosyan Street, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Tevosyan Street,,Armenia,40.189259,44.586541,Yandex,,,,"['A3936', 'A25058']"
"վահան տերյանի փողոց, երևան","Vahan Teryan Street, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Teryan Street,,Armenia,40.186441,44.518772,Yandex,,,,['A20301']
"վահան տերյանի փողոց 62ա, երևան","62a Vahan Teryan Street, Yerevan",OK,Yerevan,Yerevan,62A,,Yerevan,Teryan Street,,Armenia,40.186462,44.519185,Yandex,,,,"['A9984', 'A29322']"
"վահան տերյանի փողոց 1, երևան","1 Vahan Teryan Street, Yerevan",OK,Yerevan,Yerevan,1,,Yerevan,Teryan Street,,Armenia,40.181149,44.512196,Yandex,,,,"['A9509', 'A14296']"
"տաշքենդի փողոց 4, երևան","Tashkent Street 4, Yerevan",OK,Yerevan,Yerevan,4/1,,Yerevan,Tashkent Street,,Armenia,40.226499,44.574045,Yandex,,,,['A3226']
"սվաճյան փողոց 12/1, երևան","12/1 Svachyan Street, Yerevan",OK,Yerevan,Yerevan,12/1,,Yerevan,Svachyan Street,,Armenia,40.176808,44.450212,Yandex,,,,['A4073']
"շահումյանի փողոց 14, արտաշատ","Shahumyan Street 14, Artashat",OK,Ararat,Yerevan,14,,Artashat,Stepan Shahumyan Street,,Armenia,39.960855,44.551515,Yandex,,,,['B42']
"սողոմոն տարոնցի փողոց, երևան","Soghomon Tarontsi Street, Yerevan",OK,Yerevan,Yerevan,,,,Soghomon Tarontsi Street,,Armenia,40.14694,44.486434,Azure,,,,"['A24708', 'A31559']"
"սողոմոն տարոնցի փողոց 13, երևան","Soghomon Tarontsi Street 13, Yerevan",OK,Yerevan,Yerevan,13,,,Soghomon Tarontsi Street,,Armenia,40.14694,44.486434,Azure,,,,['A29602']
"սողոմոն տարոնցի փողոց 3, երևան","3 Soghomon Tarontsi Street, Yerevan",OK,Yerevan,Yerevan,3,,,Soghomon Tarontsi Street,,Armenia,40.146412,44.48602,Azure,,,,['A320']
"սողոմոն տարոնցի փողոց 8/1, երևան","Soghomon Tarontsi Street 8/1, Yerevan",OK,Yerevan,Yerevan,8/1,,Yerevan,Soghomon Taronts Street,,Armenia,40.146283,44.484564,Yandex,,,,['A9087']
"սողոմոն տարոնցի փողոց 24, երևան","24 Soghomon Tarontsi Street, Yerevan",OK,Yerevan,Yerevan,24,,Yerevan,Soghomon Taronts Street,,Armenia,40.144525,44.483719,Yandex,,,,['A16029']
"սողոմոն տարոնցի փողոց 22, երևան","22 Soghomon Tarontsi Street, Yerevan",OK,Yerevan,Yerevan,22,,Yerevan,Soghomon Taronts Street,,Armenia,40.144911,44.483773,Yandex,,,,['A1025']
"улица согомона таронца 5, ереван","Soghomon Taronts Street 5, Yerevan",OK,Yerevan,Yerevan,5,,Yerevan,Soghomon Taronts Street,,Armenia,40.145952,44.485741,Yandex,,,,['A29445']
"soghomon taronts str, yerevan","Soghomon Taronts Street, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Soghomon Taronts Street,,Armenia,40.145917,44.485166,Yandex,,,,"['A13525', 'A25420']"
"տարոնցի փողոցի 1-ին նրբանցք 14, երևան","14, 1st Lane, Tarontsi Street, Yerevan",OK,Yerevan,Yerevan,14,,Yerevan,Soghomon Taronts Street,,Armenia,40.145731,44.484564,Yandex,,,,['A28727']
"սիմոն վրացյան փողոց 71, երևան","71 Simon Vratsyan Street, Yerevan",OK,Yerevan,Yerevan,71,,Yerevan,Simon Vratsyan Street,,Armenia,40.171103,44.519751,Yandex,,,,['A30710']
"շոպրոնի փողոց, երևան","Shopron Street, Yerevan",OK,Yerevan,Yerevan,,6,Yerevan,Shopron Street,,Armenia,40.18647136,44.55823313,Nominatim,Nor Nork Block,,,"['A7135', 'A24978']"
"քանաքեռի 6-րդ փողոցի 5-րդ նրբանցք, երևան","5th Alley, 6th Street, Kanaker, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Shirak Street,,Armenia,40.141126,44.434752,Yandex,,5th Lane,,['A26936']
"շիրակ փողոցի 5-րդ նրբանցք 36, երևան","36, 5th Lane, Shirak Street, Yerevan",OK,Yerevan,Yerevan,29,,Yerevan,Shirak Street,,Armenia,40.140754,44.436055,Yandex,,5th Lane,,['A24306']
"shirak street 4-th lane, yerevan","Shirak Street 4th Lane, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Shirak Street,,Armenia,40.145773,44.453949,Yandex,,4th Lane,,['A23374']
"գուսան շերամ փողոց 2/4, երևան","2/4 Gusan Sheram Street, Yerevan",OK,Yerevan,Yerevan,2/4,,Yerevan,Shirak Street,,Armenia,40.138851,44.470065,Yandex,,,,['A10971']
"նելսոն ստեփանյանի փողոց 11, երևան","11 Nelson Stepanyan Street, Yerevan",OK,Yerevan,Yerevan,11,,Yerevan,Shirak Street,,Armenia,40.144539,44.462142,Yandex,,,,['A2177']
"նելսոն ստեփանյանի փողոց 10, երևան","10 Nelson Stepanyan Street, Yerevan",OK,Yerevan,Yerevan,10,,Yerevan,Shirak Street,,Armenia,40.142574,44.46525,Yandex,,,,['A26499']
"ղարիբջանյանի փողոց 10, երևան","10 Gharibjanyan Street, Yerevan",OK,Yerevan,Yerevan,10,,Yerevan,Shirak Street,,Armenia,40.142574,44.46525,Yandex,,,,['A10087']
"ջրվեժի 1-ին փողոց 68, երևան","68, 1st Jrvezh Street, Yerevan",OK,Yerevan,Yerevan,68,,Yerevan,Shirak Street,,Armenia,40.149213,44.453114,Yandex,,,,['B630']
"ջրվեժի 1-ին փողոց 40, երևան","40, 1st Jrvezh Street, Yerevan",OK,Yerevan,Yerevan,40,,Yerevan,Shirak Street,,Armenia,40.147241,44.459824,Yandex,,,,['B647']
"շահումյանի 1-ին փողոց 2/1, երևան","2/1 Shahumyan 1st Street, Yerevan",OK,Yerevan,Yerevan,2/1,,,Shahumyan Street,,Armenia,40.167782,44.462832,Azure,,,1st,['A24510']
"շահումյանի 1-ին փողոց 14, երևան","14 Shahumyan 1st Street, Yerevan",OK,Yerevan,Yerevan,14,,Yerevan,Shahumyan Street,,Armenia,40.169676,44.463579,Yandex,,,1st,['A23722']
"շահինյան փողոց 3, գյումրի","3 Shahinyan Street, Gyumri",OK,Shirak,Yerevan,4A,,Gyumri,Shahinyan Street,,Armenia,40.794968,43.833052,Yandex,,,,"['B1427', 'B1431']"
"սասունցի դավթի փողոց, երևան","Sasuntsi Davit Street, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Sasuntsi Davit Street,,Armenia,40.154741,44.516634,Yandex,,,,['A4208']
"մարտիրոս սարյանի փողոց 35, երևան","35 Martiros Saryan Street, Yerevan",OK,Yerevan,Yerevan,35,,Yerevan,Saryan Street,,Armenia,40.180454,44.505593,Yandex,,,,"['A9249', 'A14844', 'A17350']"
"մարտիրոս սարյանի փողոց 33, երևան","33 Martiros Saryan Street, Yerevan",OK,Yerevan,Yerevan,33,,Yerevan,Saryan Street,,Armenia,40.180894,44.505369,Yandex,,,,['B4965']
"մարտիրոս սարյանի փողոց 25, երևան","25 Martiros Saryan Street, Yerevan",OK,Yerevan,Yerevan,25,,Yerevan,Saryan Street,,Armenia,40.184842,44.506609,Yandex,,,,['A8459']
"մարտիրոս սարյանի փողոց 24բ, երևան","24b Martiros Saryan Street, Yerevan",OK,Yerevan,Yerevan,24B,,Yerevan,Saryan Street,,Armenia,40.184071,44.504219,Yandex,,,,"['A10914', 'A10915']"
"մարտիրոս սարյանի փողոց 24, երևան","24 Martiros Saryan Street, Yerevan",OK,Yerevan,Yerevan,24,,Yerevan,Saryan Street,,Armenia,40.183954,44.504911,Yandex,,,,['A24046']
"մարտիրոս սարյանի փողոց 22, երևան","22 Martiros Saryan Street, Yerevan",OK,Yerevan,Yerevan,22,,Yerevan,Saryan Street,,Armenia,40.184822,44.505513,Yandex,,,,['A21578']
"մարտիրոս սարյանի փողոց 20/1, երևան","20/1 Martiros Saryan Street, Yerevan",OK,Yerevan,Yerevan,20/1,,Yerevan,Saryan Street,,Armenia,40.185545,44.505953,Yandex,,,,['A10908']
"մարտիրոս սարյանի փողոց 18, երևան","18 Martiros Saryan Street, Yerevan",OK,Yerevan,Yerevan,18,,Yerevan,Saryan Street,,Armenia,40.185545,44.506851,Yandex,,,,['A20823']
"մարտիրոս սարյանի փողոց 1, երևան","1 Martiros Saryan Street, Yerevan",OK,Yerevan,Yerevan,1,,Yerevan,Saryan Street,,Armenia,40.187089,44.509717,Yandex,,,,"['A12272', 'A26981']"
"սաֆարյան փողոց, երևան","Safaryan Street, Yerevan",OK,Yerevan,Yerevan,,1,Yerevan,Samvel Safaryan Street,,Armenia,40.19746841,44.56513966,Nominatim,Nor Nork Block,,,['A456']
"սաֆարյան փողոց 4/3, երևան","4/3 Safaryan Street, Yerevan",OK,Yerevan,Yerevan,4/3,1,Yerevan,Samvel Safaryan Street,,Armenia,40.197346,44.564756,Yandex,Nor Nork Block,,,['A18120']
"րաֆֆու փողոց, ստեփանակերտ","Raffi Street, Stepanakert",OK,Yerevan,Yerevan,,,,Raffi Street,,Armenia,40.174076,44.447931,Azure,,,,['A20321']
"ռաֆայել իսրաելյան փողոց 43, երևան","43 Rafael Israelyan Street, Yerevan",OK,Yerevan,Yerevan,43,,Yerevan,Rafael Israyelyan Street,,Armenia,40.179089,44.500374,Yandex,,,,['A335']
"ռաֆայել իսրաելյան փողոց 37, երևան","37 Rafael Israelyan Street, Yerevan",OK,Yerevan,Yerevan,37,,,Rafael Israelyan Street,,Armenia,40.177887,44.50149,Azure,,,,['B6853']
"պուշկինի փողոց 33/21, երևան","33/21 Pushkin Street, Yerevan",OK,Yerevan,Yerevan,33/21,,Yerevan,Pushkin Street,,Armenia,40.183244,44.511549,Yandex,,,,['A3458']
"պռոշյան փողոցի 1-ին նրբանցք 56, երևան","56, Proshyan Street, 1st Lane, Yerevan",OK,Yerevan,Yerevan,56,,Yerevan,Proshyan Street,,Armenia,40.189576,44.504812,Yandex,,1st Lane,,['A19231']
"proshyan avenue 1st line, yerevan","Proshyan Avenue 1st Line, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Proshyan Street,,Armenia,40.189341,44.505099,Yandex,,1st Lane,,"['B3011', 'B3013']"
"հակոբ պարոնյանի փողոց 6, երևան","6 Hakob Paronyan Street, Yerevan",OK,Yerevan,Yerevan,6,,Yerevan,Paronyan Street,,Armenia,40.178641,44.502629,Yandex,,,,['A26371']
"հակոբ պարոնյանի փողոց 4, երևան","4 Hakob Paronyan Street, Yerevan",OK,Yerevan,Yerevan,4,,Yerevan,Paronyan Street,,Armenia,40.178311,44.502934,Yandex,,,,['A24331']
"պարոնյանի փողոց 4ա, երևան","4a Paronyan Street, Yerevan",OK,Yerevan,Yerevan,4A,,Yerevan,Paronyan Street,,Armenia,40.178476,44.503455,Yandex,,,,['A362']
"պարոնյանի փողոց 39, երևան","39 Paronyan Street, Yerevan",OK,Yerevan,Yerevan,40,,Yerevan,Paronyan Street,,Armenia,40.183837,44.502288,Yandex,,,,['A1857']
"բաղյան փողոցի 1-ին նրբանցք, երևան","1st Alley Of Baghyan Street, Yerevan",OK,Yerevan,Yerevan,,,,Of Baghyan Street,,Armenia,40.193731,44.567289,Azure,,1st Alley,,['A1215']
"շոպրոնի 2-րդ նրբանցք, երևան","2nd Alley Of Sopron, Yerevan",OK,Yerevan,Yerevan,,6,Yerevan,Norq Street Street,,Armenia,40.189851,44.541724,Yandex,Nor Nork Block,2nd Lane,,['A26323']
"վերին շենգավիթ 1ին փողոց, ереван","Upper Shengavit 1st Street, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Noragavit Street,,Armenia,40.123778,44.47629,Yandex,,,1st,['A22885']
"նորագավիթի 1-ին փողոց 48, երևան","48 Noragavit 1st Street, Yerevan",OK,Yerevan,Yerevan,48,,Yerevan,Noragavit Street,,Armenia,40.121992,44.473533,Yandex,,,1st,['B6477']
"նոր արեշի 9րդ փողոց, երևան","9th New Aresh Street, Yerevan",OK,Yerevan,Yerevan,9,,Yerevan,Nor Aresh Street,,Armenia,40.145697,44.517128,Yandex,,,8th,['A20962']
"նոր արեշի 11րդ փողոց, երևան","11th New Aresh Street, Yerevan",OK,Yerevan,Yerevan,11,,Yerevan,Nor Aresh Street,,Armenia,40.145587,44.517146,Yandex,,,8th,['A7053']
"nor-aresh 42th street, yerevan","Nor-aresh 42th Street, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Nor Aresh Street,,Armenia,40.146228,44.529839,Yandex,,,42nd,['A19226']
"nor aresh 12-th street, yerevan","Nor Aresh 12th Street, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Nor Aresh Street,,Armenia,40.142043,44.518826,Yandex,,,12th,['A6710']
"նիկողայոս տիգրանյան փողոցի փակուղի, երևան","Nikoghayos Tigranyan Street Dead End, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Nikoghayos Tigranyan Street,,Armenia,40.212059,44.50615,Yandex,,Dead End,,['A27774']
"նիկողայոս ադոնց փողոց 7, երևան","Nikoghayos Adonts Street 7, Yerevan",OK,Yerevan,Yerevan,7,,Yerevan,Nikoghayos Tigranyan Street,,Armenia,40.205963,44.519966,Yandex,,,,['A910']
"նիկողայոս ադոնց փողոց 6/1, երևան","Nikoghayos Adonts Street 6/1, Yerevan",OK,Yerevan,Yerevan,6/1,,Yerevan,Nikoghayos Tigranyan Street,,Armenia,40.207479,44.520613,Yandex,,,,"['A26926', 'A30244']"
"նիկողայոս ադոնց փողոց 4, երևան","Nikoghayos Adonts Street 4, Yerevan",OK,Yerevan,Yerevan,4,,Yerevan,Nikoghayos Tigranyan Street,,Armenia,40.2071,44.52055,Yandex,,,,"['A217', 'A5264']"
"նիկողայոս ադոնց փողոց 12, երևան","Nikoghayos Adonts Street 12, Yerevan",OK,Yerevan,Yerevan,12,,Yerevan,Nikoghayos Tigranyan Street,,Armenia,40.210757,44.521161,Yandex,,,,['A21954']
